"觀測時間(LST)ObsTime","測站氣壓(hPa)StnPres","海平面氣壓(hPa)SeaPres","測站最高氣壓(hPa)StnPresMax","測站最高氣壓時間(LST)StnPresMaxTime","測站最低氣壓(hPa)StnPresMin","測站最低氣壓時間(LST)StnPresMinTime","氣溫(℃)Temperature","最高氣溫(℃)T Max","最高氣溫時間(LST)T Max Time","最低氣溫(℃)T Min","最低氣溫時間(LST)T Min Time","露點溫度(℃)Td dew point","相對溼度(%)RH","最小相對溼度(%)RHMin","最小相對溼度時間(LST)RHMinTime","風速(m/s)WS","風向(最多風向)(360degree)WD","最大陣風(m/s)WSGust","最大陣風風向(360degree)WDGust","最大陣風風速時間(LST)WGustTime","降水量(mm)Precp","降水時數(hr)PrecpHour","10分鐘最大降水量(mm)PrecpMax10","10分鐘最大降水起始時間(LST)PrecpMax10Time","一小時最大降水量(mm)PrecpHrMax","一小時最大降水量起始時間(LST)PrecpHrMaxTime","日照時數(hr)SunShine","日照率(%)SunShineRate","全天空日射量(MJ/㎡)GloblRad","能見度(km)VisbMean","A型蒸發量(mm)EvapA"
"11","1002.2","1002.9","1003.5","2014-08-11 07:00","999.8","2014-08-11 15:17","29.7","34.7","2014-08-11 12:17","26.6","2014-08-11 18:00","23.9","72","58","2014-08-11 14:02","1.2","130.0","8.2","190.0","2014-08-11 17:07","1.5","2.9","1.0","2014-08-11 17:01","1.5","2014-08-11 16:36","0.3","2.3","9.85","16.3","-3.2"
"12","1001.4","1002.1","1003.2","2014-08-12 22:29","999.7","2014-08-12 14:34","29.4","33.3","2014-08-12 10:51","27.5","2014-08-12 03:03","24.1","73","65","2014-08-12 10:51","1.6","70.0","8.2","80.0","2014-08-12 15:39","1.0","1.0","0.8","2014-08-12 14:09","1.0","2014-08-12 14:17","3.3","25.3","12.55","17.9","-2.0"
"13","1002.9","1003.6","1006.7","2014-08-13 23:53","1000.9","2014-08-13 01:07","28.3","35.3","2014-08-13 10:26","26.2","2014-08-13 23:17","23.6","76","60","2014-08-13 10:24","1.3","100.0","7.8","330.0","2014-08-13 11:50","33.5","5.2","9.0","2014-08-13 13:57","27.0","2014-08-13 13:24","3.5","26.9","9.22","13.4","-3.1"
"14","1006.7","1007.4","1008.9","2014-08-14 22:10","1005.1","2014-08-14 15:15","30.7","36.2","2014-08-14 14:12","25.4","2014-08-14 05:31","23.4","66","50","2014-08-14 14:08","1.9","240.0","12.5","270.0","2014-08-14 14:21","0.0","0.0","0.0","","0.0","","7.8","60.1","20.57","21.8","4.6"
"15","1008.6","1009.3","1010.0","2014-08-15 08:27","1006.9","2014-08-15 15:23","31.1","35.9","2014-08-15 11:58","27.3","2014-08-15 05:06","24.1","67","52","2014-08-15 11:49","1.5","350.0","9.3","220.0","2014-08-15 09:20","0.0","0.0","0.0","","0.0","","6.9","53.2","21.33","18.4","6.2"
"16","1007.1","1007.8","1009.0","2014-08-16 00:01","1005.7","2014-08-16 16:07","30.1","35.1","2014-08-16 12:13","28.3","2014-08-16 05:04","24.3","71","58","2014-08-16 10:37","1.5","70.0","6.4","70.0","2014-08-16 16:16","4.5","1.4","2.0","2014-08-16 14:23","4.5","2014-08-16 14:05","4.3","33.2","15.01","12.5","-2.5"
"17","1006.6","1007.3","1008.6","2014-08-17 23:53","1004.5","2014-08-17 16:59","30.3","33.2","2014-08-17 11:26","27.4","2014-08-17 05:49","23.6","68","56","2014-08-17 14:28","1.5","170.0","6.6","90.0","2014-08-17 13:07","0.0","0.0","0.0","","0.0","","1.8","13.9","14.64","12.9","2.8"
"18","1008.5","1009.2","1010.7","2014-08-18 19:39","1006.6","2014-08-18 15:28","28.7","34.0","2014-08-18 13:24","24.7","2014-08-18 19:46","23.2","73","61","2014-08-18 13:12","1.3","140.0","10.6","250.0","2014-08-18 18:54","11.5","2.3","4.0","2014-08-18 16:00","11.0","2014-08-18 15:54","1.4","10.9","12.01","13.6","-2.4"
"19","1009.2","1009.9","1010.4","2014-08-19 21:21","1007.8","2014-08-19 13:19","27.4","33.2","2014-08-19 13:20","24.7","2014-08-19 16:50","22.6","76","60","2014-08-19 10:36","1.0","100.0","7.8","80.0","2014-08-19 14:07","24.5","4.9","6.0","2014-08-19 16:21","19.5","2014-08-19 15:39","2.4","18.6","12.42","15.4","-3.9"
"20","1009.3","1010.0","1012.0","2014-08-20 21:32","1007.8","2014-08-20 15:27","28.3","34.0","2014-08-20 11:18","25.1","2014-08-20 04:32","23.0","74","58","2014-08-20 11:26","1.2","120.0","9.7","330.0","2014-08-20 11:50","0.0","0.0","0.0","","0.0","","3.0","23.3","14.88","12.4","2.3"
"21","1009.9","1010.6","1011.3","2014-08-21 21:16","1008.1","2014-08-21 14:51","29.8","35.1","2014-08-21 13:24","26.1","2014-08-21 03:21","23.1","68","53","2014-08-21 10:15","1.5","170.0","7.3","340.0","2014-08-21 13:55","0.0","0.0","0.0","","0.0","","8.1","63.1","24.23","19.4","6.1"
"22","1009.6","1010.3","1011.5","2014-08-22 08:35","1007.5","2014-08-22 16:31","30.2","35.8","2014-08-22 13:17","26.3","2014-08-22 05:57","22.4","64","52","2014-08-22 12:08","1.7","150.0","7.4","330.0","2014-08-22 13:57","0.0","0.0","0.0","","0.0","","8.2","64.0","23.13","19.9","4.9"
"23","1009.2","1009.9","1011.1","2014-08-23 08:07","1006.8","2014-08-23 15:35","29.8","33.9","2014-08-23 11:39","26.4","2014-08-23 05:53","22.2","64","52","2014-08-23 18:34","1.4","160.0","7.6","310.0","2014-08-23 16:44","0.0","0.0","0.0","","0.0","","6.8","53.2","18.48","15.9","3.7"
"24","1009.1","1009.8","1010.7","2014-08-24 22:44","1006.9","2014-08-24 16:53","30.1","35.6","2014-08-24 12:04","25.7","2014-08-24 05:52","22.6","65","51","2014-08-24 12:01","1.2","340.0","6.5","360.0","2014-08-24 13:38","0.0","0.0","0.0","","0.0","","8.3","65.0","22.83","16.4","4.4"
"25","1009.7","1010.4","1012.0","2014-08-25 21:58","1007.3","2014-08-25 16:30","30.5","35.9","2014-08-25 11:29","26.8","2014-08-25 05:36","23.5","67","55","2014-08-25 11:29","1.3","150.0","6.7","340.0","2014-08-25 12:29","0.0","0.0","0.0","","0.0","","6.6","51.8","18.68","14.6","3.3"
"26","1010.3","1011.0","1012.1","2014-08-26 07:40","1008.2","2014-08-26 15:30","30.7","35.7","2014-08-26 11:55","26.6","2014-08-26 05:50","23.0","64","51","2014-08-26 11:54","2.3","100.0","12.1","90.0","2014-08-26 15:18","0.0","0.0","0.0","","0.0","","10.2","80.2","25.91","21.6","7.4"
"27","1010.8","1011.5","1013.5","2014-08-27 23:58","1009.2","2014-08-27 16:45","31.1","36.2","2014-08-27 12:50","28.2","2014-08-27 05:43","23.1","62","55","2014-08-27 18:32","1.4","150.0","6.9","320.0","2014-08-27 13:08","0.0","0.0","0.0","","0.0","","8.3","65.4","20.29","16.9","3.8"
"28","1012.0","1012.7","1013.8","2014-08-28 00:45","1010.0","2014-08-28 16:44","30.8","36.2","2014-08-28 12:34","26.6","2014-08-28 05:27","23.1","64","51","2014-08-28 10:44","1.4","120.0","6.8","330.0","2014-08-28 11:13","0.0","0.0","0.0","","0.0","","8.5","67.1","22.95","15.6","5.6"
"29","1011.0","1011.7","1012.6","2014-08-29 00:10","1008.8","2014-08-29 16:45","31.6","37.0","2014-08-29 14:48","27.6","2014-08-29 05:40","22.7","60","45","2014-08-29 12:46","2.3","90.0","8.4","100.0","2014-08-29 13:03","0.0","0.0","0.0","","0.0","","10.4","82.3","26.24","22.1","5.6"
"30","1010.4","1011.1","1012.0","2014-08-30 07:02","1008.0","2014-08-30 16:30","30.1","35.3","2014-08-30 11:54","27.6","2014-08-30 05:59","23.2","67","59","2014-08-30 11:51","1.9","170.0","8.7","40.0","2014-08-30 14:16","4.5","0.6","2.5","2014-08-30 13:01","4.5","2014-08-30 12:40","5.1","40.4","14.69","16.9","-3.2"
"31","1009.6","1010.3","1010.7","2014-08-31 21:12","1008.1","2014-08-31 14:23","29.8","35.6","2014-08-31 13:17","26.6","2014-08-31 05:38","22.9","67","55","2014-08-31 11:03","1.6","160.0","8.2","40.0","2014-08-31 13:45","0.0","0.0","0.0","","0.0","","5.3","42.1","19.06","14.5","4.2"
